status,id,slug,title,category,category_slug,subcategory,region,city,address,map_url,phone,whatsapp,telegram,website,image,rating,rating_source,reviews_count,price_level,features,tags,hours_mon_fri,hours_sat_sun,hours_note,description,verified,featured,updated_at
published,21,karcher,Karcher,Дом и хозяйство,home-household,Хозяйственные магазины,Чечня,Грозный,"ул.Маяковского,93 а",,+79280089999,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,22,vash-otdyh,Ваш отдых,Развлечения и досуг,entertainment,Хозяйственные магазины,Чечня,Грозный,"ул.Сайханова,69",,+79288822666,,,,,,,,,,instagram:vashotdih,,,,,FALSE,FALSE,2026-09-20
published,23,gruzovoy-servis,Грузовой сервис,Транспорт и логистика,transport,Автосервис и СТО,Чечня,Грозный,"ул.Маяковского,91",,+79280022242,,,mailto:kameta.2010@yandex.ru,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,24,grzoperevozki,Грзоперевозки,Услуги,services,Курьерские и транспортные компании,Чечня,Грозный,,,"+79640089595, +79659590050",,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,25,servis-garant,Сервис Гарант,Товары и розница,retail,Хозяйственные магазины,Чечня,Грозный,"ул.Жуковского,13",,"+79289536958, +79287355358, +79287844902",,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,26,zhalyuzi,Жалюзи,Дом и хозяйство,home-household,Строительство и ремонт,Чечня,Грозный,,,+79899225155,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,27,istselyayuschie-ruki,"""Исцеляющие руки""",Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,"ул.Митаева,83",,+79284772478,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,28,instrumenty-po-samym-nizkim-tsenam,Инструменты по самым низким ценам,Дом и хозяйство,home-household,Хозяйственные магазины,Чечня,Грозный,"ул.Гоголя,56",,+79288884013,,,,,,,,,,instagram:bakar093,,,,,FALSE,FALSE,2026-09-20
published,29,izgotovlenie-klyuchey,Изготовление ключей,Услуги,services,Ремонт домов и квартир,Чечня,Грозный,РТЦ Беркат,,+79679554847,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,30,kitab,Kitab,Товары и розница,retail,Книги и канцтовары,Чечня,Грозный,,,+79631799913,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,31,uchebnik,Учебник,Товары и розница,retail,Книги и канцтовары,Чечня,Грозный,РТЦ Беркат,,+79637015565,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,32,magazin-mebeli,Магазин Мебели,Товары и розница,retail,Мебель на заказ / дизайн интерьера,Чечня,Грозный,,,+79639885685,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,33,massazh,Массаж,Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,"ул.8-го марта,37А",,"+79280206715, +79280181106",,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,34,bers-meditsinskiy-tsentr,Берс. Медицинский центр,Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,"ул.Трудовая,43А",,+79288967628,,,mailto:mc-bers@mail.ru,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,35,moskovskie-apteki,Московские аптеки,Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,"ул.Дербентская,54А",,+79681756313,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,36,natyazhnye-potolki,Натяжные потолки,Дом и хозяйство,home-household,Строительство и ремонт,Чечня,Грозный,,,+79288888111,,,,,,,,,,instagram:potolki311,,,,,FALSE,FALSE,2026-09-20
published,37,magazin-podarkov,Магазин подарков,Услуги,services,,Чечня,Грозный,,,+79280223063,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
draft,38,,,Другое / Местные сервисы,other,,Чечня,Гудермес,"ул. Ростовская, 11А",,+79380190406,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,39,agentstvo-nedvizhimosti-region,"Агентство недвижимости ""Регион""",Жильё и недвижимость,real-estate,Агентства недвижимости,Чечня,Грозный,"Пр.Кадырова, 40а, офис 22",,+79659656060,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,40,remont-i-dizayn-kvartir,Ремонт и дизайн квартир,Жильё и недвижимость,real-estate,Мебель и интерьер,Чечня,Грозный,,,+79287802999,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,41,seyfy,Сейфы,Товары и розница,retail,,Чечня,Грозный,"ул.Маяковского, 5",,+79287395000,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,42,shkafy-kupe,Шкафы-купе,Услуги,services,Мебель и интерьер,Чечня,Грозный,,,+79280003111,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,43,natyazhnye-potolki-2,Натяжные потолки,Дом и хозяйство,home-household,Мебель и интерьер,Чечня,Грозный,,,+79288888111,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,44,shkola-dizayna,Школа дизайна,Образование и наука,education,Обучение и курсы,Чечня,Грозный,,,+79289494488,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,45,gostinitsa-korona,"Гостиница ""Корона""",Туризм и путешествия,travel,Отели и гостиницы,Кабардино-Балкария,Нальчик,"ул.Балкарова,6",,+78662720037,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
